Timestamp,Battery_Pct,Solar_Switch,Load_kW,Gen_kW
2026-01-25 15:02:28,95,0,4,0
2026-01-25 15:02:29,94,0,2,0
2026-01-25 15:02:30,93,0,5,0
2026-01-25 15:02:31,92,0,7,0
2026-01-25 15:02:32,91,0,4,0
2026-01-25 15:02:33,90,0,3,0
2026-01-25 15:02:34,89,0,3,0
2026-01-25 15:02:35,88,0,5,0
2026-01-25 15:02:36,87,0,5,0
2026-01-25 15:02:37,86,0,2,0
2026-01-25 15:02:38,85,0,2,0
2026-01-25 15:02:39,84,0,3,0
2026-01-25 15:02:40,83,0,5,0
2026-01-25 15:02:41,82,0,3,0
2026-01-25 15:02:42,81,0,7,0
2026-01-25 15:02:43,80,0,6,0
2026-01-25 15:02:44,79,0,3,0
2026-01-25 15:02:45,80,1,5,11
2026-01-25 15:02:46,81,1,7,12
2026-01-25 15:02:47,82,1,3,12
2026-01-25 15:02:48,83,1,5,11
2026-01-25 15:02:49,84,1,6,11
2026-01-25 15:02:50,85,1,4,11
2026-01-25 15:02:51,86,1,4,12
2026-01-25 15:02:52,87,1,6,11
2026-01-25 15:02:53,88,1,6,10
2026-01-25 15:02:54,89,1,3,12
2026-01-25 15:02:55,90,1,3,14
2026-01-25 15:02:56,91,1,3,13
2026-01-25 15:02:57,92,1,2,12
2026-01-25 15:02:58,93,1,3,12
2026-01-25 15:02:59,94,1,5,14
2026-01-25 15:03:00,95,1,4,13
2026-01-25 15:03:01,96,1,4,12
2026-01-25 15:03:02,97,1,2,13
2026-01-25 15:03:03,98,1,4,10
2026-01-25 15:03:04,99,1,2,12
2026-01-25 15:03:05,100,1,6,12
2026-01-25 15:03:06,99,0,4,0
2026-01-25 15:03:07,98,0,2,0
2026-01-25 15:03:09,97,0,5,0
2026-01-25 15:03:10,96,0,7,0
2026-01-25 15:03:11,95,0,5,0
2026-01-25 15:03:12,94,0,2,0
2026-01-25 15:03:13,93,0,6,0
2026-01-25 15:03:14,92,0,2,0
2026-01-25 15:03:15,91,0,7,0
2026-01-25 15:03:16,90,0,7,0
2026-01-25 15:03:17,89,0,5,0
2026-01-25 15:03:18,88,0,6,0
2026-01-25 15:03:19,87,0,4,0
2026-01-25 15:03:20,86,0,2,0
2026-01-25 15:03:21,85,0,6,0
2026-01-25 15:03:22,84,0,5,0
2026-01-25 15:03:23,83,0,7,0
2026-01-25 15:03:24,82,0,2,0
2026-01-25 15:03:25,81,0,2,0
2026-01-25 15:03:26,80,0,4,0
2026-01-25 15:03:27,79,0,7,0
2026-01-25 15:03:28,80,1,6,14
2026-01-25 15:03:29,81,1,5,12
2026-01-25 15:03:30,82,1,7,11
2026-01-25 15:03:31,83,1,7,13
2026-01-25 15:03:32,84,1,5,13
2026-01-25 15:03:33,85,1,4,13
2026-01-25 15:03:34,86,1,6,13
2026-01-25 15:03:35,87,1,6,12
2026-01-25 15:03:36,88,1,6,14
2026-01-25 15:03:37,89,1,2,12
2026-01-25 15:03:38,90,1,6,14
2026-01-25 15:03:39,91,1,6,14
2026-01-25 15:03:40,92,1,3,10
2026-01-25 15:03:41,93,1,2,11
2026-01-25 15:03:42,94,1,4,13
2026-01-25 15:03:43,95,1,5,11
2026-01-25 15:03:44,96,1,4,12
2026-01-25 15:03:45,97,1,6,10
2026-01-25 15:03:46,98,1,5,12
2026-01-25 15:03:47,99,1,7,14
2026-01-25 15:03:48,100,1,7,11
2026-01-25 15:03:49,99,0,3,0
2026-01-25 15:03:50,98,0,7,0
2026-01-25 15:03:51,97,0,6,0
2026-01-25 15:03:52,96,0,4,0
2026-01-25 15:03:53,95,0,7,0
2026-01-25 15:03:54,94,0,6,0
2026-01-25 15:03:55,93,0,3,0
2026-01-25 15:03:56,92,0,4,0
2026-01-25 15:03:57,91,0,4,0
2026-01-25 15:03:58,90,0,6,0
2026-01-25 15:03:59,89,0,4,0
2026-01-25 15:04:00,88,0,7,0
2026-01-25 15:04:01,87,0,6,0
2026-01-25 15:04:02,86,0,2,0
2026-01-25 15:04:03,85,0,3,0
2026-01-25 15:04:04,84,0,6,0
2026-01-25 15:04:05,83,0,7,0
2026-01-25 15:04:06,82,0,3,0
2026-01-25 15:04:07,81,0,2,0
2026-01-25 15:04:08,80,0,5,0
2026-01-25 15:04:09,79,0,3,0
2026-01-25 15:04:10,78,1,6,0
2026-01-25 15:04:11,79,1,3,10
2026-01-25 15:04:12,80,1,2,11
2026-01-25 15:04:13,81,1,5,12
2026-01-25 15:04:14,82,1,3,11
2026-01-25 15:04:15,83,1,7,12
2026-01-25 15:04:16,84,1,5,14
2026-01-25 15:04:17,85,1,2,14
2026-01-25 15:04:18,86,1,7,12
2026-01-25 15:04:19,87,1,4,11
2026-01-25 15:04:20,88,1,4,12
2026-01-25 15:04:21,89,1,6,13
2026-01-25 15:04:22,90,1,7,13
2026-01-25 15:04:23,91,1,2,14
2026-01-25 15:04:24,92,1,6,12
2026-01-25 15:04:25,93,1,5,13
2026-01-25 15:04:26,94,1,3,10
2026-01-25 15:04:27,95,1,4,11
2026-01-25 15:04:28,96,1,6,12
2026-01-25 15:04:29,97,1,6,13
2026-01-25 15:04:30,98,1,2,12
2026-01-25 15:04:31,99,1,3,14
2026-01-25 15:04:32,100,1,3,14
2026-01-25 15:04:33,100,0,5,12
2026-01-25 15:04:34,99,0,4,0
2026-01-25 15:04:35,98,0,6,0
2026-01-25 15:04:36,97,0,7,0
2026-01-25 15:04:37,96,0,3,0
2026-01-25 15:04:38,95,0,6,0
2026-01-25 15:04:39,94,0,5,0
2026-01-25 15:04:40,93,0,3,0
2026-01-25 15:04:41,92,0,3,0
2026-01-25 15:04:42,91,0,4,0
2026-01-25 15:04:43,90,0,6,0
2026-01-25 15:04:44,89,0,6,0
2026-01-25 15:04:45,88,0,4,0
2026-01-25 15:04:46,87,0,3,0
2026-01-25 15:04:47,86,0,7,0
2026-01-25 15:04:48,84,0,7,0
2026-01-25 15:04:49,83,0,2,0
2026-01-25 15:04:50,82,0,2,0
2026-01-25 15:04:51,81,0,2,0
2026-01-25 15:04:52,80,0,7,0
2026-01-25 15:04:53,79,0,3,0
2026-01-25 15:04:54,80,1,2,11
2026-01-25 15:04:55,81,1,3,11
2026-01-25 15:04:56,82,1,5,13
2026-01-25 15:04:57,83,1,7,10
2026-01-25 15:04:58,84,1,2,14
2026-01-25 15:04:59,85,1,5,12
2026-01-25 15:05:00,86,1,3,11
2026-01-25 15:05:01,87,1,3,13
2026-01-25 15:05:02,88,1,6,12
2026-01-25 15:05:03,89,1,6,13
2026-01-25 15:05:04,90,1,2,11
2026-01-25 15:05:05,91,1,2,13
2026-01-25 15:05:06,92,1,2,12
2026-01-25 15:05:07,93,1,7,14
2026-01-25 15:05:08,94,1,3,14
2026-01-25 15:05:09,95,1,5,13
2026-01-25 15:05:10,96,1,6,14
2026-01-25 15:05:11,97,1,7,14
2026-01-25 15:05:12,98,1,3,12
2026-01-25 15:05:13,99,1,5,11
2026-01-25 15:05:14,100,1,3,10
2026-01-25 15:05:15,99,0,6,0
2026-01-25 15:05:16,98,0,3,0
